FID,OBJECTID,fclass,name,主支流,语义一,上游河,Length,ID,起点X,起点y,终点x,终点y,下游起点X,下游起点Y,下游终点Y,下游终点X
263,264,3,富屯溪9,-1.000000000000000,1.000000000000000,0.000000000000000,7675.012999999999900,263.000000000000000,117.6549988,27.2861004,117.6139984,27.2402992,117.6139984,27.2402992,27.1889992,117.5889969
264,265,2,富屯溪,1.000000000000000,1.000000000000000,2.000000000000000,11640.455000000000000,264.000000000000000,117.5559998,27.3033009,117.6139984,27.2402992,117.6139984,27.2402992,27.1889992,117.5889969
265,266,3,富屯溪9,-1.000000000000000,0.000000000000000,2.000000000000000,17262.668000000001000,265.000000000000000,117.4199982,27.2467003,117.5490036,27.3110008,117.5490036,27.3110008,27.3033009,117.5559998
266,267,2,富屯溪,1.000000000000000,1.000000000000000,2.000000000000000,1083.249000000000000,266.000000000000000,117.5490036,27.3110008,117.5559998,27.3033009,117.5559998,27.3033009,27.2402992,117.6139984
267,268,2,富屯溪,1.000000000000000,1.000000000000000,2.000000000000000,4087.891999999999800,267.000000000000000,117.5189972,27.3285007,117.5490036,27.3110008,117.5490036,27.3110008,27.3033009,117.5559998
268,269,2,建溪,1.000000000000000,1.000000000000000,2.000000000000000,12075.953000000000000,268.000000000000000,118.1289978,27.2495995,118.1210022,27.3299007,118.2089996,27.2091007,27.2495995,118.1289978
269,270,3,松溪,1.000000000000000,1.000000000000000,2.000000000000000,26605.060000000001000,269.000000000000000,118.6760025,27.1748009,118.7089996,27.3355007,118.7089996,27.3355007,27.5582008,118.7259979
270,271,3,古山溪,-1.000000000000000,0.000000000000000,0.000000000000000,26690.165000000001000,270.000000000000000,117.3399963,27.3083000,117.5059967,27.3374004,117.5059967,27.3374004,27.3285007,117.5189972
271,272,2,富屯溪,1.000000000000000,1.000000000000000,2.000000000000000,1601.890000000000100,271.000000000000000,117.5059967,27.3374004,117.5189972,27.3285007,117.5189972,27.3285007,27.3110008,117.5490036
272,273,3,松溪,1.000000000000000,1.000000000000000,2.000000000000000,2224.960999999999800,272.000000000000000,118.6949997,27.3498001,118.7089996,27.3355007,118.7089996,27.3355007,27.5582008,118.7259979
